time,event,location,category,info
10:00 AM,Estel Hall Opens,Estel Hall,Fair,The fair opens at 10 a.m.
10:00 AM,Art Expo,Ag Building,Art,Several art displays will be taking place in the Ag Building
10:00 AM,Photography Display,Ag Building,Art,Several art displays will be taking place in the Ag Building
10:00 AM,Home Arts Expo,Ag Building,Art,Several art displays will be taking place in the Ag Building
10:00 AM,Hall of Breeds,Barn 5Livestock Barns,Livestock,Livestock shows are taking place in barn 5 and 6.
10:00 AM,Blue Ribbon Row,Barn 6Livestock Barns,Livestock,Livestock shows are taking place in barn 5 and 6.
10:30 AM,Bob Bohm's Family Entertainment,Estel Hall Stage,Entertainment,"Bob Bohm is a magician and entertainer. Performances include magic, illusions and Survivor, The Family Game Show"
10:30 AM,Tree of Life,Roaming,Entertainment,"The ""tree of life"" features a man dressed in a giant tree costume. He roams the grounds throughout the day."
11:00 AM,Muttville Comix,Ag Building,Entertainment,The Muttville Comix is a slapstick comedy act featuring more than a dozen dogs. The dogs are lead by Johnny Peers. 
11:00 AM,Brunon Blaszaks Royal Bengal Tiger Show,Bennington Knoll,Entertainment,"This entertaining and educational show will feature Bengal, Sumatran and Siberian tigers, including an extremely rare white Bengal tiger. For more information, <a href='http://wcfcourier.com/news/local/tigers-arrive-for-national-cattle-congress/article_5b9c94ee-85d2-5840-92cc-85880e7caeb5.html' target=""_blank"">read our story</a>."
11:30 AM,Chase's Racing Pigs,Concourse,Entertainment,"This act features pigs racing around a race track, which features a water obstacle course."
12:30 PM,Tree of Life,Roaming,Entertainment,"The ""tree of life"" features a man dressed in a giant tree costume. He roams the grounds throughout the day."
1:00 PM,Los Escandalosos,Pavilion,Music,This group is a Hispanic band.
1:00 PM,Hawkeye Beef Show,Pullin Simonsen Arena,Livestock,This event will feature a feeder calf (steer and heifers) and market steer and breeding heifer shows.
1:00 PM,Great Lakes Timber Show,McElroy Outdoor Stage,Entertainment,"This lumberjack show features chainsaw carving, axe throwing, wood chopping, log rolling and more."
1:30 PM,Pat Davison’s Comedy Magic Circus,Ag Building,Entertainment,"Pat Davison and family represent more than 40 years of worldwide experience. The performance includes magic, juggling, hula hoops and unicyclists."
1:30 PM,Bob Bohm's Family Entertainment,Estel Hall Stage,Entertainment,"Bob Bohm is a magician and entertainer. Performances include magic, illusions and Survivor, The Family Game Show"
2:00 PM,PRCA Rodeo,McElroy,Rodeo,Rodeo is a fast-paced sport the features a number of cattle herding competitions. The PRCA Rodeo is a staple at the National Cattle Congress.
2:00 PM,Wild World of Animals,Vets Plaza,Entertainment,This wildlife company located in Pennsylvania specializes in entertaining and educational wildlife shows. The group offers more than 85 animals.
2:00 PM,Tree of Life,Roaming,Entertainment,"The ""tree of life"" features a man dressed in a giant tree costume. He roams the grounds throughout the day."
2:30 PM,Muttville Comix,Ag Building,Entertainment,The Muttville Comix is a slapstick comedy act featuring more than a dozen dogs. The dogs are lead by Johnny Peers. 
3:30 PM,Pat Davison’s Comedy Magic Circus,Ag Building,Entertainment,"Pat Davison and family represent more than 40 years of worldwide experience. The performance includes magic, juggling, hula hoops and unicyclists."
4:00 PM,Bob Bohm's Family Entertainment,Estel Hall Stage,Entertainment,"Bob Bohm is a magician and entertainer. Performances include magic, illusions and Survivor, The Family Game Show"
4:00 PM,Brunon Blaszaks Royal Bengal Tiger Show,McElroy Outdoor Stage,Entertainment,"This entertaining and educational show will feature Bengal, Sumatran and Siberian tigers, including an extremely rare white Bengal tiger. For more information, <a href='http://wcfcourier.com/news/local/tigers-arrive-for-national-cattle-congress/article_5b9c94ee-85d2-5840-92cc-85880e7caeb5.html' target=""_blank"">read our story</a>."
4:00 PM,Tree of Life,Roaming,Entertainment,"The ""tree of life"" features a man dressed in a giant tree costume. He roams the grounds throughout the day."
4:30 PM,Muttville Comix,Ag Building,Entertainment,The Muttville Comix is a slapstick comedy act featuring more than a dozen dogs. The dogs are lead by Johnny Peers. 
4:30 PM,Chase's Racing Pigs,Concourse,Entertainment,"The ""tree of life"" features a man dressed in a giant tree costume. He roams the grounds throughout the day."
5:00 PM,Wild World of Animals,Vets Plaza,Entertainment,This wildlife company located in Pennsylvania specializes in entertaining and educational wildlife shows. The group offers more than 85 animals.
